repo,unit_id,user_id,candidate_count,selected_status
vibe-coding-classroom/vibe-coding-classroom-adv-03-unit-ble-notify-adv-03-unit-ble-notify,adv-03-unit-ble-notify,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-03-unit-json-serialization-adv-03-unit-json-serialization,adv-03-unit-json-serialization,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-04-unit-filter-algorithms-adv-04-unit-filter-algorithms,adv-04-unit-filter-algorithms,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-04-unit-i2c-spi-adv-04-unit-i2c-spi,adv-04-unit-i2c-spi,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-04-unit-json-rest-adv-04-unit-json-rest,adv-04-unit-json-rest,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-05-unit-centroid-error-adv-05-unit-centroid-error,adv-05-unit-centroid-error,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-05-unit-closed-loop-adv-05-unit-closed-loop,adv-05-unit-closed-loop,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-05-unit-feature-extraction-adv-05-unit-feature-extraction,adv-05-unit-feature-extraction,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-06-unit-centroid-algorithm-adv-06-unit-centroid-algorithm,adv-06-unit-centroid-algorithm,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-06-unit-hsv-math-adv-06-unit-hsv-math,adv-06-unit-hsv-math,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-06-unit-look-ahead-adv-06-unit-look-ahead,adv-06-unit-look-ahead,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-06-unit-threshold-filter-adv-06-unit-threshold-filter,adv-06-unit-threshold-filter,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-07-unit-chart-canvas-adv-07-unit-chart-canvas,adv-07-unit-chart-canvas,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-07-unit-event-polling-adv-07-unit-event-polling,adv-07-unit-event-polling,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-07-unit-json-parsing-adv-07-unit-json-parsing,adv-07-unit-json-parsing,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-07-unit-ui-framework-adv-07-unit-ui-framework,adv-07-unit-ui-framework,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-08-unit-color-spaces-adv-08-unit-color-spaces,adv-08-unit-color-spaces,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-08-unit-error-calculation-adv-08-unit-error-calculation,adv-08-unit-error-calculation,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-08-unit-mobilenet-ssd-adv-08-unit-mobilenet-ssd,adv-08-unit-mobilenet-ssd,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-08-unit-p-control-adv-08-unit-p-control,adv-08-unit-p-control,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-09-unit-cnn-audio-adv-09-unit-cnn-audio,adv-09-unit-cnn-audio,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-09-unit-flow-control-adv-09-unit-flow-control,adv-09-unit-flow-control,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-09-unit-teachable-machine-adv-09-unit-teachable-machine,adv-09-unit-teachable-machine,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-09-unit-webspeech-api-adv-09-unit-webspeech-api,adv-09-unit-webspeech-api,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-10-unit-api-design-adv-10-unit-api-design,adv-10-unit-api-design,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-10-unit-icc-geometry-adv-10-unit-icc-geometry,adv-10-unit-icc-geometry,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-10-unit-pwm-limits-adv-10-unit-pwm-limits,adv-10-unit-pwm-limits,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-11-unit-hardware-interrupts-adv-11-unit-hardware-interrupts,adv-11-unit-hardware-interrupts,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-11-unit-sensor-principles-adv-11-unit-sensor-principles,adv-11-unit-sensor-principles,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-11-unit-speed-algorithms-adv-11-unit-speed-algorithms,adv-11-unit-speed-algorithms,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-12-unit-code-logic-adv-12-unit-code-logic,adv-12-unit-code-logic,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-12-unit-pid-control-adv-12-unit-pid-control,adv-12-unit-pid-control,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-12-unit-pid-math-adv-12-unit-pid-math,adv-12-unit-pid-math,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-13-unit-robustness-adv-13-unit-robustness,adv-13-unit-robustness,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-13-unit-system-perf-adv-13-unit-system-perf,adv-13-unit-system-perf,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-13-unit-technical-narrative-adv-13-unit-technical-narrative,adv-13-unit-technical-narrative,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-14-unit-debugging-art-adv-14-unit-debugging-art,adv-14-unit-debugging-art,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-14-unit-kpi-definition-adv-14-unit-kpi-definition,adv-14-unit-kpi-definition,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-14-unit-refactoring-adv-14-unit-refactoring,adv-14-unit-refactoring,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-15-unit-ble-async-adv-15-unit-ble-async,adv-15-unit-ble-async,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-15-unit-data-flow-adv-15-unit-data-flow,adv-15-unit-data-flow,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-15-unit-image-dma-adv-15-unit-image-dma,adv-15-unit-image-dma,,0,
vibe-coding-classroom/vibe-coding-classroom-adv-15-unit-pid-simulation-adv-15-unit-pid-simulation,adv-15-unit-pid-simulation,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-01-unit-drivers-ports-basic-01-unit-drivers-ports,basic-01-unit-drivers-ports,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-01-unit-esp32-architecture-basic-01-unit-esp32-architecture,basic-01-unit-esp32-architecture,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-01-unit-platformio-setup-basic-01-unit-platformio-setup,basic-01-unit-platformio-setup,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-02-unit-ota-principles-basic-02-unit-ota-principles,basic-02-unit-ota-principles,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-02-unit-ota-security-basic-02-unit-ota-security,basic-02-unit-ota-security,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-02-unit-partition-table-basic-02-unit-partition-table,basic-02-unit-partition-table,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-03-unit-adc-resolution-basic-03-unit-adc-resolution,basic-03-unit-adc-resolution,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-03-unit-pinout-basic-03-unit-pinout,basic-03-unit-pinout,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-03-unit-pullup-debounce-basic-03-unit-pullup-debounce,basic-03-unit-pullup-debounce,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-04-unit-h-bridge-basic-04-unit-h-bridge,basic-04-unit-h-bridge,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-04-unit-ledc-syntax-basic-04-unit-ledc-syntax,basic-04-unit-ledc-syntax,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-04-unit-pwm-basics-basic-04-unit-pwm-basics,basic-04-unit-pwm-basics,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-05-unit-advertising-connection-basic-05-unit-advertising-connection,basic-05-unit-advertising-connection,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-05-unit-ble-properties-basic-05-unit-ble-properties,basic-05-unit-ble-properties,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-05-unit-gatt-structure-basic-05-unit-gatt-structure,basic-05-unit-gatt-structure,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-06-unit-cors-security-basic-06-unit-cors-security,basic-06-unit-cors-security,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-06-unit-fetch-api-basic-06-unit-fetch-api,basic-06-unit-fetch-api,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-06-unit-http-request-basic-06-unit-http-request,basic-06-unit-http-request,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-07-unit-async-webserver-basic-07-unit-async-webserver,basic-07-unit-async-webserver,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-07-unit-http-lifecycle-basic-07-unit-http-lifecycle,basic-07-unit-http-lifecycle,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-07-unit-wifi-ap-sta-basic-07-unit-wifi-ap-sta,basic-07-unit-wifi-ap-sta,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-08-unit-joystick-mapping-basic-08-unit-joystick-mapping,basic-08-unit-joystick-mapping,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-08-unit-response-curves-basic-08-unit-response-curves,basic-08-unit-response-curves,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-08-unit-unicycle-model-basic-08-unit-unicycle-model,basic-08-unit-unicycle-model,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-09-unit-hardware-timer-basic-09-unit-hardware-timer,basic-09-unit-hardware-timer,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-09-unit-millis-basic-09-unit-millis,basic-09-unit-millis,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-09-unit-sampling-rate-basic-09-unit-sampling-rate,basic-09-unit-sampling-rate,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-10-unit-fsm-basic-10-unit-fsm,basic-10-unit-fsm,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-10-unit-state-consistency-basic-10-unit-state-consistency,basic-10-unit-state-consistency,,0,
vibe-coding-classroom/vibe-coding-classroom-basic-10-unit-ui-design-basic-10-unit-ui-design,basic-10-unit-ui-design,,0,
vibe-coding-classroom/vibe-coding-classroom-start-01-unit-flexbox-layout-start-01-unit-flexbox-layout,start-01-unit-flexbox-layout,,0,
vibe-coding-classroom/vibe-coding-classroom-start-01-unit-html5-basics-start-01-unit-html5-basics,start-01-unit-html5-basics,k36RVpPwZoftnLwMtG4S4d4yLmj2,5,graded
vibe-coding-classroom/vibe-coding-classroom-start-01-unit-ui-ux-standards-start-01-unit-ui-ux-standards,start-01-unit-ui-ux-standards,,0,
vibe-coding-classroom/vibe-coding-classroom-start-02-unit-ble-async-start-02-unit-ble-async,start-02-unit-ble-async,,0,
vibe-coding-classroom/vibe-coding-classroom-start-02-unit-ble-security-start-02-unit-ble-security,start-02-unit-ble-security,,0,
vibe-coding-classroom/vibe-coding-classroom-start-02-unit-typed-arrays-start-02-unit-typed-arrays,start-02-unit-typed-arrays,,0,
vibe-coding-classroom/vibe-coding-classroom-start-03-unit-control-panel-start-03-unit-control-panel,start-03-unit-control-panel,,0,
vibe-coding-classroom/vibe-coding-classroom-start-03-unit-data-json-start-03-unit-data-json,start-03-unit-data-json,,0,
vibe-coding-classroom/vibe-coding-classroom-start-03-unit-flow-logic-start-03-unit-flow-logic,start-03-unit-flow-logic,,0,
vibe-coding-classroom/vibe-coding-classroom-start-04-unit-long-press-start-04-unit-long-press,start-04-unit-long-press,,0,
vibe-coding-classroom/vibe-coding-classroom-start-04-unit-prevent-default-start-04-unit-prevent-default,start-04-unit-prevent-default,,0,
vibe-coding-classroom/vibe-coding-classroom-start-04-unit-touch-basics-start-04-unit-touch-basics,start-04-unit-touch-basics,,0,
vibe-coding-classroom/vibe-coding-classroom-start-05-unit-canvas-joystick-start-05-unit-canvas-joystick,start-05-unit-canvas-joystick,,0,
vibe-coding-classroom/vibe-coding-classroom-start-05-unit-joystick-math-start-05-unit-joystick-math,start-05-unit-joystick-math,,0,
vibe-coding-classroom/vibe-coding-classroom-start-05-unit-touch-vs-mouse-start-05-unit-touch-vs-mouse,start-05-unit-touch-vs-mouse,,0,
